name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
toyota corolla altis diesel d4dg,2011,350000,230000,diesel,individual,manual,first owner
mahindra scorpio 1.99 s6 plus,2017,570000,60000,diesel,individual,manual,first owner
hyundai eon magna plus,2018,300000,31000,petrol,individual,manual,first owner
tata indigo classic dicor,2007,100000,39000,diesel,individual,manual,first owner
toyota innova 2.5 v diesel 8-seater,2009,500000,120000,diesel,individual,manual,third owner
tata indica vista quadrajet ls,2014,125000,166000,diesel,individual,manual,fourth & above owner
maruti swift 1.3 vxi,2006,130000,110000,petrol,individual,manual,third owner
ford ecosport 1.5 diesel titanium bsiv,2017,925000,35000,diesel,individual,manual,first owner
maruti ciaz 1.3 delta,2018,750000,60000,diesel,individual,manual,first owner
honda civic 1.8 v at,2007,200000,54000,petrol,individual,automatic,second owner
hyundai i10 sportz 1.2,2010,248000,63000,petrol,individual,manual,second owner
skoda rapid 1.5 tdi elegance,2014,450000,120000,diesel,individual,manual,second owner
hyundai getz gls,2005,80000,120000,petrol,individual,manual,third owner
nissan terrano xl,2014,650000,76000,petrol,individual,manual,second owner
hyundai grand i10 crdi sportz,2015,450000,80000,diesel,individual,manual,first owner
hyundai elite i20 diesel era,2019,650000,25000,diesel,individual,manual,first owner
honda amaze s i-vtec,2016,495000,11958,petrol,dealer,manual,first owner
honda brio s mt,2015,371000,20000,petrol,dealer,manual,first owner
hyundai creta 1.6 sx option,2017,1025000,9000,petrol,dealer,manual,first owner
mercedes-benz s-class s 350d connoisseurs edition,2017,8150000,6500,diesel,dealer,automatic,first owner
mahindra xuv500 w8 2wd,2015,750000,70000,diesel,individual,manual,first owner
renault duster 85ps diesel rxl optional,2013,600000,120000,diesel,individual,manual,first owner
hyundai santro xing xo,2007,80000,58000,petrol,dealer,manual,second owner
mahindra bolero 2011-2019 sle,2013,325000,62200,diesel,dealer,manual,first owner
audi a6 2.0 tdi premium plus,2014,1470000,34000,diesel,dealer,automatic,second owner
fiat avventura multijet emotion,2015,350000,53000,diesel,individual,manual,second owner
audi a8 4.2 tdi,2013,2800000,49000,diesel,dealer,automatic,first owner
datsun redigo 1.0 s,2017,210000,15000,petrol,dealer,manual,second owner
volkswagen jetta 1.4 tsi comfortline,2013,450000,50000,petrol,individual,manual,first owner
audi a4 2.0 tdi 177 bhp premium plus,2013,1150000,53000,diesel,dealer,automatic,first owner
honda civic 1.8 v at,2009,210000,63500,petrol,dealer,automatic,first owner
mercedes-benz e-class exclusive e 200 bsiv,2018,4500000,9800,petrol,dealer,automatic,first owner
bmw x1 sdrive 20d xline,2017,2750000,13000,diesel,individual,automatic,first owner
volvo v40 d3 r design,2018,1975000,21000,diesel,dealer,automatic,first owner
maruti sx4 zxi bsiii,2008,175000,29173,petrol,dealer,manual,first owner
bmw 7 series 730ld,2012,2500000,48000,diesel,dealer,automatic,first owner
mahindra bolero power plus slx,2017,628000,120000,diesel,individual,manual,first owner
hyundai sonata crdi m/t,2010,600000,100000,diesel,individual,manual,first owner
nissan micra active xv petrol,2017,399000,30000,petrol,individual,manual,first owner
mahindra xylo d4,2018,750000,87000,diesel,individual,manual,first owner
hyundai elite i20 sportz plus dual tone bsiv,2019,750000,15000,petrol,individual,manual,first owner
renault kwid rxt,2017,315000,16000,petrol,individual,manual,first owner
mahindra xylo e4 bs iii,2012,600000,60000,diesel,individual,manual,first owner
maruti wagon r lxi minor,2010,100000,60000,petrol,individual,manual,fourth & above owner
maruti sx4 zxi mt bsiv,2011,250000,110000,petrol,individual,manual,third owner
renault kwid rxt,2017,350000,25000,petrol,individual,manual,first owner
hyundai creta 1.4 crdi s,2016,780000,60000,diesel,individual,manual,first owner
maruti swift dzire vdi,2014,434000,79350,diesel,individual,manual,second owner
hyundai verna 1.6 vtvt at s option,2016,690000,80000,petrol,individual,automatic,first owner
mahindra scorpio lx bsiv,2014,555000,90000,diesel,individual,manual,second owner
maruti sx4 vxi bsiii,2007,120000,90000,petrol,individual,manual,second owner
maruti ertiga vdi,2014,500000,120000,diesel,individual,manual,second owner
chevrolet beat diesel,2013,165000,60000,diesel,individual,manual,second owner
maruti zen lx,2004,95000,50000,petrol,individual,manual,first owner
maruti baleno delta 1.2,2018,550000,20000,petrol,individual,manual,first owner
maruti swift vdi bsiii,2007,100000,110000,diesel,individual,manual,fourth & above owner
tata nano lx bsiv,2012,100000,50000,petrol,individual,manual,second owner
toyota innova 2.5 gx (diesel) 8 seater,2012,500000,100000,diesel,individual,manual,first owner
maruti ertiga shvs vdi,2016,800000,70000,diesel,individual,manual,second owner
hyundai creta 1.6 crdi sx,2016,840000,70000,diesel,individual,manual,second owner
honda amaze s i-vtech,2016,490000,50000,petrol,individual,manual,first owner
tata indica vista aqua 1.4 tdi,2010,125000,81000,diesel,individual,manual,second owner
chevrolet tavera neo 2 ls b4 7 str bsiii,2012,400000,120000,diesel,individual,manual,third owner
chevrolet cruze ltz,2015,1000000,3600,diesel,dealer,manual,first owner
ford figo aspire 1.2 ti-vct titanium plus,2015,530000,14272,petrol,dealer,manual,first owner
ford ecosport 1.5 diesel titanium plus bsiv,2017,840000,49213,diesel,dealer,manual,first owner
hyundai i10 sportz 1.1l,2015,229999,40000,petrol,individual,manual,first owner
maruti 800 std,1998,40000,40000,petrol,individual,manual,fourth & above owner
chevrolet spark 1.0 ls,2012,130000,80000,petrol,individual,manual,first owner
hyundai eon era plus,2015,200000,70000,petrol,individual,manual,first owner
tata indica vista aqua tdi bsiii,2011,120000,70000,diesel,individual,manual,first owner
hyundai santro lp zipplus,2003,75000,57000,petrol,individual,manual,first owner
tata bolt quadrajet xe,2016,250000,120000,diesel,individual,manual,first owner
maruti 800 ac bsiii,2005,100000,30000,petrol,individual,manual,first owner
hyundai eon era plus,2013,280000,3240,petrol,individual,manual,second owner
hyundai i20 magna 1.2,2015,540000,5000,petrol,individual,manual,first owner
hyundai i20 1.2 asta,2018,700000,10000,petrol,individual,manual,first owner
maruti ciaz vdi plus,2015,525000,100000,diesel,individual,manual,first owner
hyundai i20 asta 1.4 crdi,2016,430000,80000,diesel,individual,manual,first owner
hyundai santro le,2002,65000,70000,petrol,individual,manual,first owner
maruti vitara brezza vdi,2018,800000,35000,diesel,individual,manual,first owner
hyundai santro xing xl erlx euro iii,2007,75000,114000,petrol,individual,manual,second owner
hyundai getz 1.3 gls,2008,210000,53772,petrol,individual,manual,first owner
mahindra quanto c8,2012,195000,140000,diesel,individual,manual,second owner
chevrolet tavera neo 3 ls 7 c bsiii,2015,400000,120000,diesel,individual,manual,first owner
hyundai eon magna plus,2012,170000,60000,petrol,individual,manual,first owner
renault kwid rxt,2016,225000,25000,petrol,individual,manual,first owner
maruti wagon r duo lpg,2014,210000,90000,lpg,individual,manual,first owner
maruti wagon r lxi,2020,240000,120000,petrol,individual,manual,first owner
chevrolet enjoy 1.3 tcdi ls 8,2015,300000,175000,diesel,individual,manual,first owner
chevrolet spark 1.0 ls,2011,99000,100000,petrol,individual,manual,third owner
honda city i vtec sv,2014,620000,36000,petrol,individual,manual,first owner
honda amaze vx i-dtec,2013,500000,30000,diesel,individual,manual,first owner
jaguar xj 5.0 l v8 supercharged,2010,2550000,40000,petrol,individual,automatic,second owner
honda brio e mt,2013,260000,70000,petrol,individual,manual,second owner
maruti swift vvt zxi,2017,550000,60000,petrol,individual,manual,first owner
tata indigo cr4,2011,150000,155500,diesel,individual,manual,first owner
hyundai i10 asta at,2011,350000,50000,petrol,individual,automatic,second owner
chevrolet beat lt,2016,320000,40000,petrol,individual,manual,first owner
maruti swift vdi bsiv,2015,400000,100000,diesel,individual,manual,third owner
maruti alto lxi,2012,175000,80000,petrol,individual,manual,third owner
chevrolet beat lt,2011,120000,90000,petrol,individual,manual,second owner
renault duster 110ps diesel rxz,2013,320000,90000,diesel,individual,manual,second owner
hyundai santro xing xg,2006,70000,110000,petrol,individual,manual,third owner
maruti swift dzire zxi plus,2019,810000,15000,petrol,individual,manual,first owner
maruti 800 ac,2007,95000,100000,petrol,individual,manual,second owner
maruti alto k10 lxi cng,2020,282000,40000,cng,individual,manual,first owner
maruti 800 std bsii,2004,80000,60000,petrol,individual,manual,second owner
tata nano lx se,2013,72000,25000,petrol,individual,manual,first owner
hyundai i20 magna 1.2,2016,600000,25000,petrol,individual,manual,first owner
skoda rapid 1.6 mpi ambition with alloy wheel,2015,640000,23000,petrol,individual,manual,first owner
maruti alto k10 vxi,2018,380000,22155,petrol,individual,manual,first owner
maruti ciaz 1.4 delta,2018,650000,70000,petrol,individual,manual,first owner
maruti alto lx,2009,150000,60000,petrol,individual,manual,second owner
hyundai i20 asta,2009,280000,110000,petrol,individual,manual,second owner
tata nexon 1.2 revotron xm,2018,430000,30000,petrol,individual,manual,first owner
mahindra bolero power plus slx,2019,800000,15000,diesel,individual,manual,first owner
maruti zen d,2003,75000,100000,diesel,individual,manual,second owner
volkswagen vento celeste 1.5 tdi highline at,2016,650000,70000,diesel,individual,automatic,first owner
maruti eeco 7 seater standard bsiv,2017,390000,24000,petrol,individual,manual,first owner
honda city 1.5 exi,2005,100000,120000,petrol,individual,manual,second owner
mercedes-benz new c-class 220 cdi at,2013,1500000,35000,diesel,individual,automatic,first owner
maruti sx4 zxi with leather bsiii,2007,175000,78380,petrol,individual,manual,first owner
renault duster 110ps diesel rxz,2012,434999,110000,diesel,individual,manual,second owner
ford figo diesel titanium,2010,170000,90000,diesel,individual,manual,third owner
ford figo diesel titanium,2011,190000,90000,diesel,individual,manual,third owner
maruti swift dzire vdi,2009,250000,150000,diesel,individual,manual,third owner
mahindra xylo e4,2009,229999,230000,diesel,individual,manual,third owner
maruti esteem vxi - bsiii,2006,140000,70000,petrol,individual,manual,third owner
maruti swift vdi bsiv,2017,600000,80362,diesel,individual,manual,first owner
hyundai i20 1.2 sportz,2012,280000,110000,petrol,individual,manual,third owner
chevrolet beat diesel lt,2012,150000,60000,diesel,individual,manual,first owner
chevrolet cruze ltz at,2015,650000,50000,diesel,individual,automatic,first owner
nissan micra xl,2014,210000,40000,petrol,individual,manual,second owner
bmw 5 series 520d luxury line,2017,2900000,40000,diesel,individual,automatic,first owner
chevrolet enjoy 1.3 tcdi ls 8,2013,425000,20000,diesel,dealer,manual,first owner
hyundai eon era plus option,2014,265000,55000,petrol,dealer,manual,first owner
fiat linea t jet emotion,2018,890000,1136,petrol,dealer,manual,first owner
renault scala rxl,2013,365000,55000,petrol,dealer,manual,first owner
ford figo petrol titanium,2014,350000,43000,petrol,dealer,manual,first owner
maruti ciaz zdi shvs,2016,685000,60000,diesel,individual,manual,first owner
skoda rapid 1.5 tdi ambition bsiv,2018,940000,2650,diesel,dealer,manual,first owner
mahindra xuv500 w6 2wd,2017,1000000,40000,diesel,individual,manual,first owner
mahindra xuv300 w8 option,2019,1150000,15000,petrol,dealer,manual,first owner
maruti ertiga shvs zdi,2016,450000,115962,diesel,individual,manual,second owner
nissan terrano xe d,2015,590000,65000,diesel,dealer,manual,first owner
maruti s-cross facelift,2017,800000,40000,diesel,individual,manual,first owner
hyundai i20 magna 1.4 crdi (diesel),2012,385000,58000,diesel,dealer,manual,first owner
mercedes-benz new c-class c 220 cdi be avantgare,2013,2000000,15000,diesel,individual,automatic,first owner
hyundai eon era plus,2012,235000,54000,petrol,dealer,manual,first owner
volkswagen ameo 1.5 tdi highline,2017,640000,56000,diesel,dealer,manual,first owner
maruti alto lx,2006,52000,120000,petrol,individual,manual,third owner
maruti omni lpg cargo bsiii w immobiliser,2009,80000,90000,lpg,individual,manual,second owner
maruti alto lx,2012,140000,70000,petrol,individual,manual,second owner
hyundai verna i (petrol),2008,120000,90000,petrol,individual,manual,second owner
mahindra renault logan 1.5 dls,2008,89999,213000,diesel,individual,manual,first owner
chevrolet optra magnum 2.0 ls bsiii,2012,180000,120000,diesel,individual,manual,first owner
mahindra scorpio s11 bsiv,2017,1500000,20000,diesel,individual,manual,first owner
hyundai i20 active 1.2 sx,2017,700000,10000,petrol,individual,manual,first owner
maruti sx4 celebration diesel,2012,285000,80000,diesel,individual,manual,second owner
hyundai grand i10 magna,2015,390000,90000,petrol,individual,manual,first owner
maruti alto lxi bsiii,2008,125000,80000,petrol,individual,manual,first owner
maruti sx4 zxi with leather bsiii,2008,225000,60000,petrol,individual,manual,second owner
hyundai i10 era,2011,175000,139000,petrol,individual,manual,second owner
toyota innova 2.5 v diesel 7-seater,2011,1075000,160000,diesel,individual,manual,second owner
honda mobilio v i dtec,2014,300000,150000,diesel,individual,manual,first owner
toyota innova 2.5 g (diesel) 7 seater bs iv,2010,700000,163000,diesel,individual,manual,fourth & above owner
tata indica v2 2001-2011 dls bsiii,2009,90000,120000,diesel,dealer,manual,first owner
tata indica vista tdi ls,2011,120000,120000,diesel,individual,manual,second owner
chevrolet beat diesel ls,2012,220000,100000,diesel,individual,manual,second owner
tata zest quadrajet 1.3 75ps xe,2015,300000,140000,diesel,dealer,manual,first owner
skoda fabia 1.2l diesel ambiente,2010,180000,87000,diesel,dealer,manual,second owner
maruti 800 std,2013,170000,70000,petrol,individual,manual,first owner
ford figo petrol titanium,2015,300000,50000,petrol,individual,manual,second owner
toyota innova 2.5 vx (diesel) 8 seater,2014,1050000,70000,diesel,individual,manual,first owner
honda mobilio v i dtec,2014,300000,150000,diesel,individual,manual,first owner
hyundai grand i10 1.2 crdi asta,2018,465000,25000,diesel,individual,manual,first owner
chevrolet beat diesel lt,2011,130000,80000,diesel,individual,manual,second owner
datsun go plus t option petrol,2018,434999,10000,petrol,individual,manual,first owner
hyundai grand i10 1.2 kappa asta,2018,500000,32000,petrol,individual,manual,first owner
maruti omni mpi std bsiv,2018,200000,10000,petrol,individual,manual,first owner
maruti baleno alpha 1.2,2017,625000,52000,petrol,dealer,manual,first owner
ford fiesta classic 1.4 sxi duratorq,2006,110000,120000,diesel,individual,manual,third owner
hyundai elite i20 asta option bsiv,2019,800000,11240,petrol,individual,manual,first owner
hyundai grand i10 crdi magna,2017,490000,66000,diesel,dealer,manual,first owner
maruti ertiga shvs zdi,2017,880000,64000,diesel,dealer,manual,first owner
hyundai santro xing gl plus,2013,290000,49000,petrol,individual,manual,first owner
tata sumo gx tc 7 str bsiii,2006,115999,100000,diesel,individual,manual,second owner
renault kwid rxt,2018,360000,26500,petrol,individual,manual,first owner
maruti 800 ac,2002,65000,100000,petrol,individual,manual,second owner
maruti vitara brezza ldi option,2017,685000,72000,diesel,dealer,manual,first owner
honda jazz s,2009,300000,50000,petrol,individual,manual,first owner
hyundai i20 1.4 sportz,2017,680000,44000,diesel,dealer,manual,first owner
maruti ertiga shvs zdi plus,2017,1000000,60000,diesel,individual,manual,second owner
tata sumo se plus bsiii,2002,100000,120000,diesel,individual,manual,first owner
mahindra xylo e4,2010,160000,130000,diesel,individual,manual,first owner
maruti swift zdi bsiv,2017,450000,70000,diesel,individual,manual,first owner
maruti ertiga vxi,2014,600000,20000,petrol,individual,manual,first owner
hyundai i20 1.4 magna abs,2009,180000,60000,diesel,individual,manual,second owner
maruti alto lxi,2007,100000,195000,petrol,individual,manual,first owner
maruti alto lxi,2010,120000,90000,petrol,individual,manual,second owner
hyundai getz gl,2006,130000,80000,petrol,individual,manual,third owner
maruti wagon r lx bs iv,2011,160000,155000,petrol,individual,manual,first owner
mahindra bolero power plus slx,2019,860000,35000,diesel,individual,manual,first owner
hyundai i20 1.2 spotz,2018,650000,20000,petrol,individual,manual,second owner
maruti wagon r lxi minor,2010,100000,80000,petrol,individual,manual,second owner
maruti alto 800 vxi,2017,282000,20000,petrol,individual,manual,first owner
hyundai i20 asta (o),2009,300000,50000,petrol,individual,manual,first owner
hyundai i20 asta,2010,270000,110000,petrol,individual,manual,second owner
hyundai verna 1.6 sx crdi (o),2013,550000,29000,diesel,individual,manual,first owner
mahindra xylo d2 bsiv,2013,450000,120000,diesel,individual,manual,first owner
mahindra bolero slx 2wd bsiii,2011,430000,70000,diesel,individual,manual,second owner
maruti ertiga vxi abs,2013,350000,40000,petrol,individual,manual,first owner
honda brio 1.2 e mt,2017,350000,20000,petrol,individual,manual,first owner
toyota etios liva g,2013,229999,50000,petrol,individual,manual,second owner
maruti alto 800 lxi,2013,110000,50000,petrol,individual,manual,first owner
maruti swift dzire 1.2 vxi bsiv,2012,395000,49000,petrol,individual,manual,second owner
mahindra scorpio vls at 2.2 mhawk,2011,650000,70000,diesel,individual,automatic,second owner
mahindra bolero slx,2011,350000,90000,diesel,individual,manual,second owner
mahindra xuv500 w11 option awd,2020,1400000,25000,diesel,dealer,manual,first owner
tata tiago 1.2 revotron xz,2018,360000,4000,petrol,individual,manual,first owner
mahindra marazzo m8 8str,2018,1300000,10000,diesel,individual,manual,first owner
renault duster 110ps diesel rxl,2015,800000,15000,diesel,individual,manual,first owner
hyundai eon magna plus,2018,229999,30000,petrol,individual,manual,first owner
maruti wagon r vxi,2014,315000,41000,petrol,dealer,manual,first owner
chevrolet spark 1.0 lt,2012,125000,28000,petrol,individual,manual,first owner
maruti baleno alpha,2019,700000,16000,petrol,individual,manual,first owner
hyundai eon 1.0 kappa magna plus,2015,160000,70000,petrol,individual,manual,first owner
ford figo aspire 1.2 ti-vct trend,2017,530000,10832,petrol,dealer,manual,first owner
ford figo aspire facelift,2018,624000,14681,diesel,dealer,manual,first owner
hyundai i10 era,2009,250000,50000,petrol,individual,manual,first owner
mahindra bolero slx,2016,585000,51000,diesel,dealer,manual,first owner
hyundai verna 1.4 vtvt,2015,500000,25000,petrol,individual,manual,first owner
chevrolet sail 1.2 lt abs,2014,350000,30000,petrol,individual,manual,first owner
honda city i-dtec sv,2014,495000,80000,diesel,dealer,manual,first owner
hyundai grand i10 1.2 kappa asta,2017,500000,50000,petrol,individual,manual,first owner
mahindra bolero power plus plus ac bsiv ps,2015,430000,200000,diesel,individual,manual,first owner
hyundai grand i10 1.2 kappa sportz option,2013,345000,44000,petrol,dealer,manual,first owner
maruti baleno sigma 1.2,2015,500000,10000,petrol,individual,manual,first owner
tata tiago 1.2 revotron xz,2019,425000,19600,petrol,individual,manual,first owner
maruti wagon r lxi,2005,80000,40000,petrol,individual,manual,second owner
chevrolet beat diesel ls,2011,106000,50000,diesel,individual,manual,first owner
maruti a-star vxi,2009,180000,46730,petrol,individual,manual,first owner
datsun go a,2015,250000,40000,petrol,individual,manual,second owner
skoda yeti ambition 4wd,2011,350000,80000,diesel,individual,manual,first owner
maruti zen lxi bsii,2002,60000,80000,petrol,individual,manual,second owner
hyundai verna crdi 1.6 ex,2018,900000,24000,diesel,individual,manual,first owner
ford aspire titanium diesel bsiv,2017,700000,21170,diesel,dealer,manual,first owner
bmw 3 series 320d sport,2013,2000000,167223,diesel,dealer,automatic,first owner
maruti ertiga shvs zdi plus,2017,1000000,40000,diesel,individual,manual,first owner
bmw x1 sdrive 20d exclusive,2011,1375000,60000,diesel,individual,automatic,first owner
toyota innova crysta 2.4 vx mt,2016,1800000,141440,diesel,dealer,manual,first owner
chevrolet tavera neo 3 10 seats bsiv,2007,160000,120000,diesel,individual,manual,third owner
mitsubishi outlander 2.4,2012,525000,140000,petrol,individual,automatic,first owner
mahindra xuv500 w8 2wd,2012,850000,212814,diesel,dealer,manual,first owner
maruti baleno alpha 1.3,2019,800000,30000,diesel,individual,manual,first owner
ford figo aspire 1.5 tdci titanium,2017,700000,88635,diesel,dealer,manual,first owner
maruti swift dzire vdi,2018,800000,25000,diesel,individual,manual,first owner
hyundai i20 1.2 spotz,2017,575000,20000,petrol,individual,manual,second owner
renault duster 110ps diesel rxz,2012,350000,110000,diesel,individual,manual,second owner
maruti swift vdi bsiii,2008,250000,120000,diesel,individual,manual,third owner
ford endeavour titanium 4x2,2011,600000,149674,diesel,dealer,manual,second owner
mahindra scorpio 2.6 turbo 9 str,2007,370000,100000,diesel,individual,manual,third owner
maruti baleno vxi,2006,80000,120000,petrol,individual,manual,third owner
tata indica dlx,2003,50000,120000,diesel,individual,manual,second owner
hyundai verna crdi 1.6 ex,2018,900000,25000,diesel,individual,manual,first owner
maruti wagon r vxi bs iv,2014,300000,35000,petrol,individual,manual,second owner
tata indica lsi,2002,125000,40000,petrol,individual,manual,first owner
maruti swift dzire vdi,2015,490000,60000,diesel,individual,manual,second owner
toyota etios liva gd,2012,300000,50000,diesel,individual,manual,second owner
tata nano std,2013,55000,25000,petrol,individual,manual,fourth & above owner
hyundai grand i10 sportz,2016,350000,25000,petrol,individual,manual,first owner
hyundai grand i10 1.2 crdi asta,2019,755000,8000,diesel,individual,manual,first owner
maruti ertiga shvs vdi,2017,720000,60000,diesel,individual,manual,first owner
mahindra bolero slx,2006,229999,200000,diesel,individual,manual,third owner
mahindra scorpio s7 140 bsiv,2018,1100000,20000,diesel,individual,manual,first owner
volkswagen polo petrol comfortline 1.2l,2013,400000,100000,petrol,individual,manual,first owner
hyundai xcent 1.1 crdi base,2015,350000,70000,diesel,individual,manual,second owner
chevrolet beat diesel ps,2012,159000,68000,diesel,dealer,manual,first owner
maruti swift zxi bsiv,2017,550000,38000,petrol,dealer,manual,first owner
maruti ritz vdi,2013,335000,80000,diesel,dealer,manual,first owner
tata indigo cs emax cng glx,2014,185000,72000,cng,dealer,manual,first owner
maruti eeco 5 str with ac plus htr cng,2012,229999,75000,cng,dealer,manual,first owner
maruti estilo lxi,2014,225000,43000,petrol,dealer,manual,first owner
maruti swift vxi with abs,2007,250000,120000,petrol,individual,manual,second owner
tata zest quadrajet 1.3 xm,2015,400000,100000,diesel,individual,manual,first owner
maruti swift vdi bsiv,2014,470000,163000,diesel,individual,manual,first owner
maruti alto k10 vxi ags optional,2018,300000,25000,petrol,individual,automatic,first owner
maruti alto lx,2011,145000,25000,petrol,individual,manual,first owner
maruti sx4 vxi bsiii,2007,100000,90000,petrol,individual,manual,second owner
mahindra scorpio sle bsiv,2014,500000,70000,diesel,individual,manual,second owner
hyundai santro xing gls cng,2010,130000,98000,cng,individual,manual,second owner
chevrolet cruze ltz,2010,240000,81925,diesel,individual,manual,first owner
ford figo diesel celebration edition,2013,150000,80000,diesel,individual,manual,second owner
renault kwid rxt optional,2017,270000,40000,petrol,individual,manual,first owner
maruti swift dzire vdi,2014,400000,90000,diesel,individual,manual,first owner
hyundai eon era plus,2012,200000,46000,petrol,individual,manual,first owner
mahindra xuv500 w6 2wd,2012,550000,80000,diesel,individual,manual,first owner
renault kwid 1.0 rxt optional,2018,325000,35000,petrol,individual,manual,first owner
