name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,age_of_car,price_per_km,is_diesel,is_dealer,is_automatic,owner_priority,brand
tata tigor 1.2 revotron xt,2018,525000,15000,petrol,individual,manual,first owner,8,35.0,0,0,0,1,tata
audi a6 2.0 tdi  design edition,2013,1735000,50000,diesel,dealer,automatic,first owner,13,34.7,1,1,1,1,audi
mercedes-benz new c-class c 220 cdi avantgarde,2012,1375000,33800,diesel,dealer,automatic,second owner,14,40.680473372781066,1,1,1,2,mercedes-benz
skoda superb ambition 2.0 tdi cr at,2011,450000,130400,diesel,dealer,automatic,second owner,15,3.450920245398773,1,1,1,2,skoda
toyota corolla altis g at,2016,900000,50000,petrol,individual,automatic,first owner,10,18.0,0,0,1,1,toyota
toyota innova 2.5 g (diesel) 7 seater,2015,1300000,80000,diesel,individual,manual,first owner,11,16.25,1,0,0,1,toyota
jeep compass 1.4 sport plus bsiv,2019,1400000,10000,petrol,individual,manual,first owner,7,140.0,0,0,0,1,jeep
mercedes-benz e-class e 200 cgi elegance,2010,850000,119000,petrol,dealer,automatic,first owner,16,7.142857142857143,0,1,1,1,mercedes-benz
hyundai i10 magna 1.1l,2014,229999,60000,petrol,individual,manual,fourth & above owner,12,3.8333166666666667,0,0,0,4,hyundai
bmw 3 series 320d sport line,2013,1550000,75800,diesel,dealer,automatic,second owner,13,20.448548812664907,1,1,1,2,bmw
audi q7 35 tdi quattro premium,2009,1250000,78000,diesel,dealer,automatic,third owner,17,16.025641025641026,1,1,1,3,audi
hyundai elantra crdi s,2012,625000,40000,diesel,individual,manual,first owner,14,15.625,1,0,0,1,hyundai
mahindra scorpio 1.99 s10,2014,1050000,50000,diesel,individual,manual,first owner,12,21.0,1,0,0,1,mahindra
honda city i dtec v,2014,560000,74000,diesel,individual,manual,second owner,12,7.5675675675675675,1,0,0,2,honda
maruti wagon r vxi bs iv with abs,2014,290000,64000,petrol,individual,manual,second owner,12,4.53125,0,0,0,2,maruti
maruti wagon r vxi bs iv,2012,275000,60000,petrol,individual,manual,second owner,14,4.583333333333333,0,0,0,2,maruti
mahindra scorpio lx,2009,411000,120000,diesel,individual,manual,second owner,17,3.425,1,0,0,2,mahindra
hyundai santro xing gls,2009,150000,79000,petrol,individual,manual,third owner,17,1.8987341772151898,0,0,0,3,hyundai
hyundai grand i10 1.2 kappa asta,2019,500000,15000,petrol,individual,manual,first owner,7,33.333333333333336,0,0,0,1,hyundai
maruti alto lxi,2006,100000,80000,petrol,individual,manual,first owner,20,1.25,0,0,0,1,maruti
maruti swift dzire vdi optional,2017,725000,18500,diesel,dealer,manual,first owner,9,39.189189189189186,1,1,0,1,maruti
maruti eeco 5 seater ac bsiv,2018,401000,10200,petrol,dealer,manual,first owner,8,39.31372549019608,0,1,0,1,maruti
hyundai i20 sportz 1.4 crdi,2018,750000,29000,diesel,dealer,manual,first owner,8,25.862068965517242,1,1,0,1,hyundai
maruti omni maruti omni mpi std bsiii 5-str w/ immobiliser,2018,310000,28000,petrol,dealer,manual,first owner,8,11.071428571428571,0,1,0,1,maruti
maruti swift zdi bsiv,2016,665000,46000,diesel,dealer,manual,first owner,10,14.456521739130435,1,1,0,1,maruti
hyundai i20 2015-2017 sportz option 1.4 crdi,2014,465000,70000,diesel,dealer,manual,first owner,12,6.642857142857143,1,1,0,1,hyundai
maruti alto lxi,2012,160000,60000,petrol,individual,manual,second owner,14,2.6666666666666665,0,0,0,2,maruti
mahindra jeep cl 500 mdi,1996,250000,35000,diesel,individual,manual,second owner,30,7.142857142857143,1,0,0,2,mahindra
honda city i dtec vx,2014,675000,90000,diesel,dealer,manual,first owner,12,7.5,1,1,0,1,honda
maruti wagon r vxi bs iv,2013,300000,80000,petrol,dealer,manual,first owner,13,3.75,0,1,0,1,maruti
tata indica dls,2005,70000,80000,diesel,individual,manual,first owner,21,0.875,1,0,0,1,tata
hyundai eon magna plus,2014,240000,73300,petrol,dealer,manual,second owner,12,3.2742155525238745,0,1,0,2,hyundai
toyota etios gd,2014,525000,92000,diesel,dealer,manual,first owner,12,5.706521739130435,1,1,0,1,toyota
maruti alto lxi,2009,151000,66764,petrol,dealer,manual,second owner,17,2.2616979210352883,0,1,0,2,maruti
maruti alto lxi,2009,140000,100000,petrol,individual,manual,first owner,17,1.4,0,0,0,1,maruti
chevrolet tavera neo ls b3 - 7(c) seats bsiii,2010,280000,350000,diesel,individual,manual,second owner,16,0.8,1,0,0,2,chevrolet
toyota corolla altis diesel d4dg,2011,350000,230000,diesel,individual,manual,first owner,15,1.5217391304347827,1,0,0,1,toyota
mahindra scorpio 1.99 s6 plus,2017,570000,60000,diesel,individual,manual,first owner,9,9.5,1,0,0,1,mahindra
hyundai eon magna plus,2018,300000,31000,petrol,individual,manual,first owner,8,9.67741935483871,0,0,0,1,hyundai
tata indigo classic dicor,2007,100000,39000,diesel,individual,manual,first owner,19,2.5641025641025643,1,0,0,1,tata
toyota innova 2.5 v diesel 8-seater,2009,500000,120000,diesel,individual,manual,third owner,17,4.166666666666667,1,0,0,3,toyota
tata indica vista quadrajet ls,2014,125000,166000,diesel,individual,manual,fourth & above owner,12,0.7530120481927711,1,0,0,4,tata
maruti swift 1.3 vxi,2006,130000,110000,petrol,individual,manual,third owner,20,1.1818181818181819,0,0,0,3,maruti
ford ecosport 1.5 diesel titanium bsiv,2017,925000,35000,diesel,individual,manual,first owner,9,26.428571428571427,1,0,0,1,ford
maruti ciaz 1.3 delta,2018,750000,60000,diesel,individual,manual,first owner,8,12.5,1,0,0,1,maruti
honda civic 1.8 v at,2007,200000,54000,petrol,individual,automatic,second owner,19,3.7037037037037037,0,0,1,2,honda
hyundai i10 sportz 1.2,2010,248000,63000,petrol,individual,manual,second owner,16,3.9365079365079363,0,0,0,2,hyundai
skoda rapid 1.5 tdi elegance,2014,450000,120000,diesel,individual,manual,second owner,12,3.75,1,0,0,2,skoda
hyundai getz gls,2005,80000,120000,petrol,individual,manual,third owner,21,0.6666666666666666,0,0,0,3,hyundai
nissan terrano xl,2014,650000,76000,petrol,individual,manual,second owner,12,8.552631578947368,0,0,0,2,nissan
hyundai grand i10 crdi sportz,2015,450000,80000,diesel,individual,manual,first owner,11,5.625,1,0,0,1,hyundai
hyundai elite i20 diesel era,2019,650000,25000,diesel,individual,manual,first owner,7,26.0,1,0,0,1,hyundai
honda amaze s i-vtec,2016,495000,11958,petrol,dealer,manual,first owner,10,41.39488208730557,0,1,0,1,honda
honda brio s mt,2015,371000,20000,petrol,dealer,manual,first owner,11,18.55,0,1,0,1,honda
hyundai creta 1.6 sx option,2017,1025000,9000,petrol,dealer,manual,first owner,9,113.88888888888889,0,1,0,1,hyundai
mercedes-benz s-class s 350d connoisseurs edition,2017,8150000,6500,diesel,dealer,automatic,first owner,9,1253.8461538461538,1,1,1,1,mercedes-benz
mahindra xuv500 w8 2wd,2015,750000,70000,diesel,individual,manual,first owner,11,10.714285714285714,1,0,0,1,mahindra
renault duster 85ps diesel rxl optional,2013,600000,120000,diesel,individual,manual,first owner,13,5.0,1,0,0,1,renault
hyundai santro xing xo,2007,80000,58000,petrol,dealer,manual,second owner,19,1.3793103448275863,0,1,0,2,hyundai
mahindra bolero 2011-2019 sle,2013,325000,62200,diesel,dealer,manual,first owner,13,5.22508038585209,1,1,0,1,mahindra
audi a6 2.0 tdi premium plus,2014,1470000,34000,diesel,dealer,automatic,second owner,12,43.23529411764706,1,1,1,2,audi
fiat avventura multijet emotion,2015,350000,53000,diesel,individual,manual,second owner,11,6.60377358490566,1,0,0,2,fiat
audi a8 4.2 tdi,2013,2800000,49000,diesel,dealer,automatic,first owner,13,57.142857142857146,1,1,1,1,audi
datsun redigo 1.0 s,2017,210000,15000,petrol,dealer,manual,second owner,9,14.0,0,1,0,2,datsun
volkswagen jetta 1.4 tsi comfortline,2013,450000,50000,petrol,individual,manual,first owner,13,9.0,0,0,0,1,volkswagen
audi a4 2.0 tdi 177 bhp premium plus,2013,1150000,53000,diesel,dealer,automatic,first owner,13,21.69811320754717,1,1,1,1,audi
honda civic 1.8 v at,2009,210000,63500,petrol,dealer,automatic,first owner,17,3.3070866141732282,0,1,1,1,honda
mercedes-benz e-class exclusive e 200 bsiv,2018,4500000,9800,petrol,dealer,automatic,first owner,8,459.18367346938777,0,1,1,1,mercedes-benz
bmw x1 sdrive 20d xline,2017,2750000,13000,diesel,individual,automatic,first owner,9,211.53846153846155,1,0,1,1,bmw
volvo v40 d3 r design,2018,1975000,21000,diesel,dealer,automatic,first owner,8,94.04761904761905,1,1,1,1,volvo
maruti sx4 zxi bsiii,2008,175000,29173,petrol,dealer,manual,first owner,18,5.998697425701848,0,1,0,1,maruti
bmw 7 series 730ld,2012,2500000,48000,diesel,dealer,automatic,first owner,14,52.083333333333336,1,1,1,1,bmw
mahindra bolero power plus slx,2017,628000,120000,diesel,individual,manual,first owner,9,5.233333333333333,1,0,0,1,mahindra
hyundai sonata crdi m/t,2010,600000,100000,diesel,individual,manual,first owner,16,6.0,1,0,0,1,hyundai
nissan micra active xv petrol,2017,399000,30000,petrol,individual,manual,first owner,9,13.3,0,0,0,1,nissan
mahindra xylo d4,2018,750000,87000,diesel,individual,manual,first owner,8,8.620689655172415,1,0,0,1,mahindra
hyundai elite i20 sportz plus dual tone bsiv,2019,750000,15000,petrol,individual,manual,first owner,7,50.0,0,0,0,1,hyundai
renault kwid rxt,2017,315000,16000,petrol,individual,manual,first owner,9,19.6875,0,0,0,1,renault
mahindra xylo e4 bs iii,2012,600000,60000,diesel,individual,manual,first owner,14,10.0,1,0,0,1,mahindra
maruti wagon r lxi minor,2010,100000,60000,petrol,individual,manual,fourth & above owner,16,1.6666666666666667,0,0,0,4,maruti
maruti sx4 zxi mt bsiv,2011,250000,110000,petrol,individual,manual,third owner,15,2.272727272727273,0,0,0,3,maruti
renault kwid rxt,2017,350000,25000,petrol,individual,manual,first owner,9,14.0,0,0,0,1,renault
hyundai creta 1.4 crdi s,2016,780000,60000,diesel,individual,manual,first owner,10,13.0,1,0,0,1,hyundai
maruti swift dzire vdi,2014,434000,79350,diesel,individual,manual,second owner,12,5.469439193446755,1,0,0,2,maruti
hyundai verna 1.6 vtvt at s option,2016,690000,80000,petrol,individual,automatic,first owner,10,8.625,0,0,1,1,hyundai
mahindra scorpio lx bsiv,2014,555000,90000,diesel,individual,manual,second owner,12,6.166666666666667,1,0,0,2,mahindra
maruti sx4 vxi bsiii,2007,120000,90000,petrol,individual,manual,second owner,19,1.3333333333333333,0,0,0,2,maruti
maruti ertiga vdi,2014,500000,120000,diesel,individual,manual,second owner,12,4.166666666666667,1,0,0,2,maruti
chevrolet beat diesel,2013,165000,60000,diesel,individual,manual,second owner,13,2.75,1,0,0,2,chevrolet
maruti zen lx,2004,95000,50000,petrol,individual,manual,first owner,22,1.9,0,0,0,1,maruti
maruti baleno delta 1.2,2018,550000,20000,petrol,individual,manual,first owner,8,27.5,0,0,0,1,maruti
maruti swift vdi bsiii,2007,100000,110000,diesel,individual,manual,fourth & above owner,19,0.9090909090909091,1,0,0,4,maruti
tata nano lx bsiv,2012,100000,50000,petrol,individual,manual,second owner,14,2.0,0,0,0,2,tata
toyota innova 2.5 gx (diesel) 8 seater,2012,500000,100000,diesel,individual,manual,first owner,14,5.0,1,0,0,1,toyota
maruti ertiga shvs vdi,2016,800000,70000,diesel,individual,manual,second owner,10,11.428571428571429,1,0,0,2,maruti
hyundai creta 1.6 crdi sx,2016,840000,70000,diesel,individual,manual,second owner,10,12.0,1,0,0,2,hyundai
honda amaze s i-vtech,2016,490000,50000,petrol,individual,manual,first owner,10,9.8,0,0,0,1,honda
tata indica vista aqua 1.4 tdi,2010,125000,81000,diesel,individual,manual,second owner,16,1.5432098765432098,1,0,0,2,tata
chevrolet tavera neo 2 ls b4 7 str bsiii,2012,400000,120000,diesel,individual,manual,third owner,14,3.3333333333333335,1,0,0,3,chevrolet
chevrolet cruze ltz,2015,1000000,3600,diesel,dealer,manual,first owner,11,277.77777777777777,1,1,0,1,chevrolet
ford figo aspire 1.2 ti-vct titanium plus,2015,530000,14272,petrol,dealer,manual,first owner,11,37.13565022421525,0,1,0,1,ford
ford ecosport 1.5 diesel titanium plus bsiv,2017,840000,49213,diesel,dealer,manual,first owner,9,17.068660719728527,1,1,0,1,ford
hyundai i10 sportz 1.1l,2015,229999,40000,petrol,individual,manual,first owner,11,5.749975,0,0,0,1,hyundai
maruti 800 std,1998,40000,40000,petrol,individual,manual,fourth & above owner,28,1.0,0,0,0,4,maruti
chevrolet spark 1.0 ls,2012,130000,80000,petrol,individual,manual,first owner,14,1.625,0,0,0,1,chevrolet
hyundai eon era plus,2015,200000,70000,petrol,individual,manual,first owner,11,2.857142857142857,0,0,0,1,hyundai
tata indica vista aqua tdi bsiii,2011,120000,70000,diesel,individual,manual,first owner,15,1.7142857142857142,1,0,0,1,tata
hyundai santro lp zipplus,2003,75000,57000,petrol,individual,manual,first owner,23,1.3157894736842106,0,0,0,1,hyundai
tata bolt quadrajet xe,2016,250000,120000,diesel,individual,manual,first owner,10,2.0833333333333335,1,0,0,1,tata
maruti 800 ac bsiii,2005,100000,30000,petrol,individual,manual,first owner,21,3.3333333333333335,0,0,0,1,maruti
hyundai eon era plus,2013,280000,3240,petrol,individual,manual,second owner,13,86.41975308641975,0,0,0,2,hyundai
hyundai i20 magna 1.2,2015,540000,5000,petrol,individual,manual,first owner,11,108.0,0,0,0,1,hyundai
hyundai i20 1.2 asta,2018,700000,10000,petrol,individual,manual,first owner,8,70.0,0,0,0,1,hyundai
maruti ciaz vdi plus,2015,525000,100000,diesel,individual,manual,first owner,11,5.25,1,0,0,1,maruti
hyundai i20 asta 1.4 crdi,2016,430000,80000,diesel,individual,manual,first owner,10,5.375,1,0,0,1,hyundai
hyundai santro le,2002,65000,70000,petrol,individual,manual,first owner,24,0.9285714285714286,0,0,0,1,hyundai
maruti vitara brezza vdi,2018,800000,35000,diesel,individual,manual,first owner,8,22.857142857142858,1,0,0,1,maruti
hyundai santro xing xl erlx euro iii,2007,75000,114000,petrol,individual,manual,second owner,19,0.6578947368421053,0,0,0,2,hyundai
hyundai getz 1.3 gls,2008,210000,53772,petrol,individual,manual,first owner,18,3.905378263780406,0,0,0,1,hyundai
mahindra quanto c8,2012,195000,140000,diesel,individual,manual,second owner,14,1.3928571428571428,1,0,0,2,mahindra
chevrolet tavera neo 3 ls 7 c bsiii,2015,400000,120000,diesel,individual,manual,first owner,11,3.3333333333333335,1,0,0,1,chevrolet
hyundai eon magna plus,2012,170000,60000,petrol,individual,manual,first owner,14,2.8333333333333335,0,0,0,1,hyundai
renault kwid rxt,2016,225000,25000,petrol,individual,manual,first owner,10,9.0,0,0,0,1,renault
maruti wagon r duo lpg,2014,210000,90000,lpg,individual,manual,first owner,12,2.3333333333333335,0,0,0,1,maruti
maruti wagon r lxi,2020,240000,120000,petrol,individual,manual,first owner,6,2.0,0,0,0,1,maruti
chevrolet enjoy 1.3 tcdi ls 8,2015,300000,175000,diesel,individual,manual,first owner,11,1.7142857142857142,1,0,0,1,chevrolet
chevrolet spark 1.0 ls,2011,99000,100000,petrol,individual,manual,third owner,15,0.99,0,0,0,3,chevrolet
honda city i vtec sv,2014,620000,36000,petrol,individual,manual,first owner,12,17.22222222222222,0,0,0,1,honda
honda amaze vx i-dtec,2013,500000,30000,diesel,individual,manual,first owner,13,16.666666666666668,1,0,0,1,honda
jaguar xj 5.0 l v8 supercharged,2010,2550000,40000,petrol,individual,automatic,second owner,16,63.75,0,0,1,2,jaguar
honda brio e mt,2013,260000,70000,petrol,individual,manual,second owner,13,3.7142857142857144,0,0,0,2,honda
maruti swift vvt zxi,2017,550000,60000,petrol,individual,manual,first owner,9,9.166666666666666,0,0,0,1,maruti
tata indigo cr4,2011,150000,155500,diesel,individual,manual,first owner,15,0.9646302250803859,1,0,0,1,tata
hyundai i10 asta at,2011,350000,50000,petrol,individual,automatic,second owner,15,7.0,0,0,1,2,hyundai
chevrolet beat lt,2016,320000,40000,petrol,individual,manual,first owner,10,8.0,0,0,0,1,chevrolet
maruti swift vdi bsiv,2015,400000,100000,diesel,individual,manual,third owner,11,4.0,1,0,0,3,maruti
maruti alto lxi,2012,175000,80000,petrol,individual,manual,third owner,14,2.1875,0,0,0,3,maruti
chevrolet beat lt,2011,120000,90000,petrol,individual,manual,second owner,15,1.3333333333333333,0,0,0,2,chevrolet
renault duster 110ps diesel rxz,2013,320000,90000,diesel,individual,manual,second owner,13,3.5555555555555554,1,0,0,2,renault
hyundai santro xing xg,2006,70000,110000,petrol,individual,manual,third owner,20,0.6363636363636364,0,0,0,3,hyundai
maruti swift dzire zxi plus,2019,810000,15000,petrol,individual,manual,first owner,7,54.0,0,0,0,1,maruti
maruti 800 ac,2007,95000,100000,petrol,individual,manual,second owner,19,0.95,0,0,0,2,maruti
maruti alto k10 lxi cng,2020,282000,40000,cng,individual,manual,first owner,6,7.05,0,0,0,1,maruti
maruti 800 std bsii,2004,80000,60000,petrol,individual,manual,second owner,22,1.3333333333333333,0,0,0,2,maruti
tata nano lx se,2013,72000,25000,petrol,individual,manual,first owner,13,2.88,0,0,0,1,tata
hyundai i20 magna 1.2,2016,600000,25000,petrol,individual,manual,first owner,10,24.0,0,0,0,1,hyundai
skoda rapid 1.6 mpi ambition with alloy wheel,2015,640000,23000,petrol,individual,manual,first owner,11,27.82608695652174,0,0,0,1,skoda
maruti alto k10 vxi,2018,380000,22155,petrol,individual,manual,first owner,8,17.15188445046265,0,0,0,1,maruti
maruti ciaz 1.4 delta,2018,650000,70000,petrol,individual,manual,first owner,8,9.285714285714286,0,0,0,1,maruti
maruti alto lx,2009,150000,60000,petrol,individual,manual,second owner,17,2.5,0,0,0,2,maruti
hyundai i20 asta,2009,280000,110000,petrol,individual,manual,second owner,17,2.5454545454545454,0,0,0,2,hyundai
tata nexon 1.2 revotron xm,2018,430000,30000,petrol,individual,manual,first owner,8,14.333333333333334,0,0,0,1,tata
mahindra bolero power plus slx,2019,800000,15000,diesel,individual,manual,first owner,7,53.333333333333336,1,0,0,1,mahindra
maruti zen d,2003,75000,100000,diesel,individual,manual,second owner,23,0.75,1,0,0,2,maruti
volkswagen vento celeste 1.5 tdi highline at,2016,650000,70000,diesel,individual,automatic,first owner,10,9.285714285714286,1,0,1,1,volkswagen
maruti eeco 7 seater standard bsiv,2017,390000,24000,petrol,individual,manual,first owner,9,16.25,0,0,0,1,maruti
honda city 1.5 exi,2005,100000,120000,petrol,individual,manual,second owner,21,0.8333333333333334,0,0,0,2,honda
mercedes-benz new c-class 220 cdi at,2013,1500000,35000,diesel,individual,automatic,first owner,13,42.857142857142854,1,0,1,1,mercedes-benz
maruti sx4 zxi with leather bsiii,2007,175000,78380,petrol,individual,manual,first owner,19,2.232712426639449,0,0,0,1,maruti
renault duster 110ps diesel rxz,2012,434999,110000,diesel,individual,manual,second owner,14,3.9545363636363637,1,0,0,2,renault
ford figo diesel titanium,2010,170000,90000,diesel,individual,manual,third owner,16,1.8888888888888888,1,0,0,3,ford
ford figo diesel titanium,2011,190000,90000,diesel,individual,manual,third owner,15,2.111111111111111,1,0,0,3,ford
maruti swift dzire vdi,2009,250000,150000,diesel,individual,manual,third owner,17,1.6666666666666667,1,0,0,3,maruti
mahindra xylo e4,2009,229999,230000,diesel,individual,manual,third owner,17,0.9999956521739131,1,0,0,3,mahindra
maruti esteem vxi - bsiii,2006,140000,70000,petrol,individual,manual,third owner,20,2.0,0,0,0,3,maruti
maruti swift vdi bsiv,2017,600000,80362,diesel,individual,manual,first owner,9,7.466215375426197,1,0,0,1,maruti
hyundai i20 1.2 sportz,2012,280000,110000,petrol,individual,manual,third owner,14,2.5454545454545454,0,0,0,3,hyundai
chevrolet beat diesel lt,2012,150000,60000,diesel,individual,manual,first owner,14,2.5,1,0,0,1,chevrolet
chevrolet cruze ltz at,2015,650000,50000,diesel,individual,automatic,first owner,11,13.0,1,0,1,1,chevrolet
nissan micra xl,2014,210000,40000,petrol,individual,manual,second owner,12,5.25,0,0,0,2,nissan
bmw 5 series 520d luxury line,2017,2900000,40000,diesel,individual,automatic,first owner,9,72.5,1,0,1,1,bmw
chevrolet enjoy 1.3 tcdi ls 8,2013,425000,20000,diesel,dealer,manual,first owner,13,21.25,1,1,0,1,chevrolet
hyundai eon era plus option,2014,265000,55000,petrol,dealer,manual,first owner,12,4.818181818181818,0,1,0,1,hyundai
fiat linea t jet emotion,2018,890000,1136,petrol,dealer,manual,first owner,8,783.4507042253521,0,1,0,1,fiat
renault scala rxl,2013,365000,55000,petrol,dealer,manual,first owner,13,6.636363636363637,0,1,0,1,renault
ford figo petrol titanium,2014,350000,43000,petrol,dealer,manual,first owner,12,8.13953488372093,0,1,0,1,ford
maruti ciaz zdi shvs,2016,685000,60000,diesel,individual,manual,first owner,10,11.416666666666666,1,0,0,1,maruti
skoda rapid 1.5 tdi ambition bsiv,2018,940000,2650,diesel,dealer,manual,first owner,8,354.7169811320755,1,1,0,1,skoda
mahindra xuv500 w6 2wd,2017,1000000,40000,diesel,individual,manual,first owner,9,25.0,1,0,0,1,mahindra
mahindra xuv300 w8 option,2019,1150000,15000,petrol,dealer,manual,first owner,7,76.66666666666667,0,1,0,1,mahindra
maruti ertiga shvs zdi,2016,450000,115962,diesel,individual,manual,second owner,10,3.8805815698245976,1,0,0,2,maruti
nissan terrano xe d,2015,590000,65000,diesel,dealer,manual,first owner,11,9.076923076923077,1,1,0,1,nissan
maruti s-cross facelift,2017,800000,40000,diesel,individual,manual,first owner,9,20.0,1,0,0,1,maruti
hyundai i20 magna 1.4 crdi (diesel),2012,385000,58000,diesel,dealer,manual,first owner,14,6.637931034482759,1,1,0,1,hyundai
mercedes-benz new c-class c 220 cdi be avantgare,2013,2000000,15000,diesel,individual,automatic,first owner,13,133.33333333333334,1,0,1,1,mercedes-benz
hyundai eon era plus,2012,235000,54000,petrol,dealer,manual,first owner,14,4.351851851851852,0,1,0,1,hyundai
volkswagen ameo 1.5 tdi highline,2017,640000,56000,diesel,dealer,manual,first owner,9,11.428571428571429,1,1,0,1,volkswagen
maruti alto lx,2006,52000,120000,petrol,individual,manual,third owner,20,0.43333333333333335,0,0,0,3,maruti
maruti omni lpg cargo bsiii w immobiliser,2009,80000,90000,lpg,individual,manual,second owner,17,0.8888888888888888,0,0,0,2,maruti
maruti alto lx,2012,140000,70000,petrol,individual,manual,second owner,14,2.0,0,0,0,2,maruti
hyundai verna i (petrol),2008,120000,90000,petrol,individual,manual,second owner,18,1.3333333333333333,0,0,0,2,hyundai
mahindra renault logan 1.5 dls,2008,89999,213000,diesel,individual,manual,first owner,18,0.4225305164319249,1,0,0,1,mahindra
chevrolet optra magnum 2.0 ls bsiii,2012,180000,120000,diesel,individual,manual,first owner,14,1.5,1,0,0,1,chevrolet
mahindra scorpio s11 bsiv,2017,1500000,20000,diesel,individual,manual,first owner,9,75.0,1,0,0,1,mahindra
hyundai i20 active 1.2 sx,2017,700000,10000,petrol,individual,manual,first owner,9,70.0,0,0,0,1,hyundai
maruti sx4 celebration diesel,2012,285000,80000,diesel,individual,manual,second owner,14,3.5625,1,0,0,2,maruti
hyundai grand i10 magna,2015,390000,90000,petrol,individual,manual,first owner,11,4.333333333333333,0,0,0,1,hyundai
maruti alto lxi bsiii,2008,125000,80000,petrol,individual,manual,first owner,18,1.5625,0,0,0,1,maruti
maruti sx4 zxi with leather bsiii,2008,225000,60000,petrol,individual,manual,second owner,18,3.75,0,0,0,2,maruti
hyundai i10 era,2011,175000,139000,petrol,individual,manual,second owner,15,1.2589928057553956,0,0,0,2,hyundai
toyota innova 2.5 v diesel 7-seater,2011,1075000,160000,diesel,individual,manual,second owner,15,6.71875,1,0,0,2,toyota
